method,seed,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
barrier_certified_energy_composer_v5,0,0.799107,0.068694,0.085090,0.756593,0.740525,0.070674,0.189238,0.112044,0.050906,0.104338,0.102024,0.094563,0.885673,0.021429,0.000782,0.000883,0.000791,0.000920,0.000730,0.000267,0.001178,0.000325,0.000547,0.001309,0.001212,0.021796,1344
barrier_certified_energy_composer_v5,1,0.813988,0.068927,0.084898,0.756908,0.740655,0.070537,0.189040,0.112051,0.050998,0.104274,0.102216,0.095193,0.900790,0.020811,0.000777,0.000891,0.000779,0.000921,0.000729,0.000268,0.001176,0.000329,0.000542,0.001319,0.001202,0.020981,1344
barrier_certified_energy_composer_v5,2,0.799107,0.068940,0.085191,0.756906,0.740814,0.070591,0.189253,0.111880,0.050915,0.104219,0.102283,0.095182,0.885728,0.021429,0.000793,0.000891,0.000775,0.000928,0.000726,0.000266,0.001181,0.000320,0.000543,0.001343,0.001219,0.021774,1344
barrier_certified_energy_composer_v5,3,0.794643,0.068934,0.085028,0.756357,0.740572,0.070609,0.189238,0.112041,0.050912,0.104233,0.102197,0.095221,0.881076,0.021605,0.000786,0.000882,0.000770,0.000930,0.000723,0.000254,0.001166,0.000332,0.000548,0.001324,0.001203,0.021870,1344
barrier_certified_energy_composer_v5,4,0.811012,0.069070,0.084929,0.756906,0.740965,0.070624,0.189203,0.111886,0.051066,0.104367,0.102172,0.095222,0.897650,0.020939,0.000790,0.000895,0.000789,0.000901,0.000731,0.000265,0.001170,0.000333,0.000544,0.001332,0.001217,0.021310,1344
barrier_certified_energy_composer_v5,5,0.779018,0.069101,0.084996,0.756254,0.741620,0.070566,0.189062,0.112018,0.050749,0.104252,0.102501,0.095159,0.865779,0.022191,0.000778,0.000884,0.000782,0.000906,0.000723,0.000263,0.001165,0.000324,0.000542,0.001308,0.001197,0.022550,1344
barrier_certified_energy_composer_v5,6,0.796875,0.069018,0.085135,0.756597,0.740938,0.070582,0.189433,0.112026,0.050929,0.104370,0.102507,0.095206,0.883275,0.021518,0.000793,0.000879,0.000772,0.000914,0.000729,0.000269,0.001167,0.000326,0.000541,0.001324,0.001223,0.021847,1344
barrier_certified_energy_composer_v5,7,0.810268,0.068901,0.085069,0.757139,0.741017,0.070692,0.189187,0.111950,0.050908,0.104097,0.102098,0.094873,0.897056,0.020970,0.000802,0.000880,0.000780,0.000874,0.000725,0.000265,0.001177,0.000322,0.000554,0.001337,0.001214,0.021392,1344
barrier_certified_energy_composer_v5,8,0.811756,0.068824,0.085237,0.756416,0.740940,0.070589,0.189286,0.112260,0.051049,0.104462,0.102276,0.095019,0.898024,0.020907,0.000785,0.000888,0.000788,0.000940,0.000728,0.000258,0.001170,0.000327,0.000548,0.001312,0.001203,0.021287,1344
barrier_certified_energy_composer_v5,9,0.801339,0.069139,0.085232,0.756457,0.740920,0.070648,0.189240,0.111894,0.050830,0.104109,0.102627,0.095192,0.887654,0.021339,0.000782,0.000887,0.000786,0.000879,0.000734,0.000262,0.001165,0.000327,0.000541,0.001319,0.001214,0.021834,1344
